Acrobolbaceae,顶苞苔科
Adelanthaceae,隐蒴苔科
Anastrophyllaceae,挺叶苔科
Aneuraceae,绿片苔科
Antheliaceae,兔耳苔科
Aytoniaceae,疣冠苔科
Balantiopsidaceae,小袋苔科
Blasiaceae,壶苞苔科
Blepharostomataceae,睫毛苔科
Calyculariaceae,苞片苔科
Calypogeiaceae,护蒴苔科
Cephaloziaceae,大萼苔科
Cephaloziellaceae,拟大萼苔科
Cleveaceae,星孔苔科
Conocephalaceae,蛇苔科
Corsiniaceae,花地钱科
Cyathodiaceae,光苔科
Dumortieraceae,毛地钱科
Fossombroniaceae,小叶苔科
Frullaniaceae,耳叶苔科
Geocalycaceae,地萼苔科
Gymnomitriaceae,全萼苔科
Haplomitriaceae,裸蒴苔科
Harpanthaceae,镰萼苔科
Herbertaceae,剪叶苔科
Hygrobiellaceae,长胞苔科
Jackiellaceae,甲克苔科
Jubulaceae,毛耳苔科
Jungermanniaceae,叶苔科
Lejeuneaceae,细鳞苔科
Lepicoleaceae,复叉苔科
Lepidoziaceae,指叶苔科
Lophocoleaceae,齿萼苔科
Lophoziaceae,裂叶苔科
Lunulariaceae,半月苔科
Makinoaceae,南溪苔科
Marchantiaceae,地钱科
Mastigophoraceae,须苔科
Metzgeriaceae,叉苔科
Moerckiaceae,莫氏苔科
Monosoleniaceae,单月苔科
Myliaceae,小萼苔科
Neotrichocoleaceae,新绒苔科
Notoscyphaceae,假苞苔科
Pallaviciniaceae,带叶苔科
Pelliaceae,溪苔科
Plagiochilaceae,羽苔科
Pleuroziaceae,紫叶苔科
Porellaceae,光萼苔科
Pseudolepicoleaceae,拟复叉苔科
Ptilidiaceae,毛叶苔科
Radulaceae,扁萼苔科
Ricciaceae,钱苔科
Saccogynaceae,囊萼苔科
Scapaniaceae,合叶苔科
Schistochilaceae,歧舌苔科
Solenostomataceae,管口苔科
Southbyaceae,横叶苔科
Targioniaceae,皮叶苔科
Treubiaceae,陶氏苔科
Trichocoleaceae,绒苔科
Wiesnerellaceae,魏氏苔科
Isoetaceae,水韭科
Lycopodiaceae,石松科
Selaginellaceae,卷柏科
Anthocerotaceae,角苔科
Dendrocerotaceae,树角苔科
Notothyladaceae,短角苔科
Phymatocerotaceae,肿角苔科
Amblystegiaceae,柳叶藓科
Amphidiaceae,瓶藓科
Andreaeaceae,黑藓科
Anomodontaceae,牛舌藓科
Antitrichiaceae,逆毛藓科
Aongstroemiaceae,昂氏藓科
Archidiaceae,无轴藓科
Aulacomniaceae,皱蒴藓科
Bartramiaceae,珠藓科
Brachytheciaceae,青藓科
Bruchiaceae,小烛藓科
Bryaceae,真藓科
Bryowijkiaceae,蔓枝藓科
Bryoxiphiaceae,虾藓科
Buxbaumiaceae,烟杆藓科
Calliergonaceae,湿原藓科
Calymperaceae,花叶藓科
Climaciaceae,万年藓科
Cryphaeaceae,隐蒴藓科
Daltoniaceae,小黄藓科
Dicranaceae,曲尾藓科
Dicranellaceae,小曲尾藓科
Diphysciaceae,短颈藓科
Distichiaceae,对叶藓科
Ditrichaceae,牛毛藓科
Drummondiaceae,木衣藓科
Encalyptaceae,大帽藓科
Entodontaceae,绢藓科
Erpodiaceae,树生藓科
Fabroniaceae,碎米藓科
Fissidentaceae,凤尾藓科
Flatbergiaceae,绢炭藓科
Flexitrichaceae,扭茎藓科
Fontinalaceae,水藓科
Funariaceae,葫芦藓科
Grimmiaceae,紫萼藓科
Habrodontaceae,柔齿藓科
Hedwigiaceae,虎尾藓科
Hookeriaceae,油藓科
Hylocomiaceae,塔藓科
Hypnaceae,灰藓科
Hypnodendraceae,树灰藓科
Hypopterygiaceae,孔雀藓科
Lembophyllaceae,船叶藓科
Leskeaceae,薄罗藓科
Leucobryaceae,白发藓科
Leucodontaceae,白齿藓科
Leucomiaceae,白藓科
Meesiaceae,寒藓科
Meteoriaceae,蔓藓科
Micromitriaceae,细蓑藓科
Miyabeaceae,瓦叶藓科
Mniaceae,提灯藓科
Myuriaceae,金毛藓科
Neckeraceae,平藓科
Oedipodiaceae,长台藓科
Orthodontiaceae,直齿藓科
Orthostichellaceae,直列藓科
Orthotrichaceae,木灵藓科
Pilotrichaceae,茸帽藓科
Plagiotheciaceae,棉藓科
Polytrichaceae,金发藓科
Pottiaceae,丛藓科
Pseudoleskeaceae,拟薄罗藓科
Pseudoleskeellaceae,假细罗藓科
Pterigynandraceae,腋苞藓科
Pterobryaceae,蕨藓科
Ptychomitriaceae,缩叶藓科
Ptychomniaceae,棱蒴藓科
Pylaisiaceae,金灰藓科
Pylaisiadelphaceae,毛锦藓科
Racopilaceae,卷柏藓科
Regmatodontaceae,异齿藓科
Rhabdoweisiaceae,粗石藓科
Rhachitheciaceae,刺藓科
Rhizogoniaceae,桧藓科
Rhytidiaceae,垂枝藓科
Saelaniaceae,石缝藓科
Schistostegaceae,光藓科
Scorpidiaceae,蝎尾藓科
Scouleriaceae,水石藓科
