Acrobolbus,顶苞苔属
Saccogynidium,拟囊萼苔属
Acrobolbus ciliatus,钝角顶苞苔
Acrobolbus knightii,囊蒴苔
Saccogynidium irregularispinosum,刺叶拟囊萼苔
Saccogynidium muricellum,糙叶拟囊萼苔
Saccogynidium rigidulum,挺叶拟囊萼苔
Denotarisia,兜叶苔属
Syzygiella,对耳苔属
Wettsteinia,无萼苔属
Denotarisia linguifolia,兜叶苔
Syzygiella autumnalis,秋圆叶苔
Syzygiella elongella,梨萼对耳苔
Syzygiella nipponica,东亚对耳苔
Syzygiella securifolia,台湾对耳苔
Wettsteinia inversa,无萼苔
Wettsteinia rotundifolia,圆叶无萼苔
Anastrepta,卷叶苔属
Anastrophyllum,挺叶苔属
Barbilophozia,细裂瓣苔属
Biantheridion,圆瓣苔属
Chandonanthus,广萼苔属
Hamatostrepta,拟卷叶苔属
Hattoria,服部苔属
Isopaches,等厚苔属
Neoorthocaulis,新直茎苔属
Orthocaulis,直茎苔属
Plicanthus,褶萼苔属
Pseudolophozia,假裂叶苔属
Schizophyllopsis,裂褶苔属
Schljakovia,二裂瓣苔属
Schljakovianthus,四裂瓣苔属
Sphenolobopsis,拟折瓣苔属
Tetralophozia,小广萼苔属
Anastrepta orcadensis,卷叶苔
Anastrophyllum assimile,抱茎挺叶苔
Anastrophyllum donnianum,挺叶苔
Anastrophyllum hellerianum,深绿挺叶苔
Anastrophyllum joergensenii,高山挺叶苔
Anastrophyllum lignicola,红胞挺叶苔
Anastrophyllum michauxii,密叶挺叶苔
Anastrophyllum minutum,小挺叶苔
Anastrophyllum minutum var. acuminatum,尖叶小挺叶苔
Anastrophyllum minutum var. apiculatum,高山小挺叶苔
Anastrophyllum minutum var. minutum,小挺叶苔(原变种)
Anastrophyllum piligerum,毛口挺叶苔
Anastrophyllum saxicola,石生挺叶苔
Anastrophyllum striolatum,细纹挺叶苔
Barbilophozia barbata,细裂瓣苔
Barbilophozia hatcheri,狭基细裂瓣苔
Barbilophozia lycopodioides,阔叶细裂瓣苔
Biantheridion undulifolium,圆瓣苔
Chandonanthus squarrosus,广萼苔
Hamatostrepta concinna,拟卷叶苔
Hattoria yakushimensis,服部苔
Isopaches decolorans,暗色等厚苔
Neoorthocaulis attenuatus,新直茎苔
Orthocaulis atlanticus,直茎苔
Plicanthus birmensis,全缘褶萼苔
Plicanthus hirtellus,齿边褶萼苔
Pseudolophozia sudetica,假裂叶苔
Schizophyllopsis bidens,双齿裂褶苔
Schljakovia kunzeana,二裂瓣苔
Schljakovianthus quadrilobus,四裂瓣苔
Sphenolobopsis pearsonii,拟折瓣苔
Tetralophozia filiformis,纤细小广萼苔
Aneura,绿片苔属
Lobatiriccardia,宽片苔属
Riccardia,片叶苔属
Aneura maxima,大绿片苔
Aneura pinguis,绿片苔
Lobatiriccardia coronopus,宽片苔
Lobatiriccardia yunnanensis,云南宽片苔
Riccardia angustata,狭片叶苔
Riccardia chamaedryfolia,多枝片叶苔
Riccardia changbaishanensis,长白山片叶苔
Riccardia chinensis,中华片叶苔
Riccardia crenulata,细圆齿片叶苔
Riccardia diminuta,细线枝片苔
Riccardia flagellifrons,鞭枝片叶苔
Riccardia formosensis,台湾片叶苔
Riccardia jackii,南亚片叶苔
Riccardia kodamae,单胞片叶苔
Riccardia latifrons,宽片叶苔
Riccardia miyakeana,东亚片叶苔
Riccardia multifida,片叶苔
Riccardia palmata,掌状片叶苔
Riccardia platyclada,宽枝片叶苔
Riccardia plumosa,具羽片叶苔
Riccardia sinuata,波叶片叶苔
Riccardia submultifida,羽枝片叶苔
Anthelia,兔耳苔属
Anthelia julacea,兔耳苔
Anthelia juratzkana,小兔耳苔
Asterella,花萼苔属
Cryptomitrium,薄地钱属
Mannia,疣冠苔属
Plagiochasma,紫背苔属
Reboulia,石地钱属
Asterella angusta,狭叶花萼苔
Asterella cruciata,十字花萼苔
Asterella khasyana,卡西花萼苔
Asterella leptophylla,网纹花萼苔
Asterella mitsuminensis,柔叶花萼苔
Asterella monospiris,单纹花萼苔
Asterella multiflora,多托花萼苔
Asterella mussuriensis,侧托花萼苔
Asterella reflexa,卷边花萼苔
Asterella saccata,囊苞花萼苔
Asterella sanguinea,矮网花萼苔
Asterella tenella,花萼苔
Asterella wallichiana,瓦氏花萼苔
Asterella yoshinagana,东亚花萼苔
Cryptomitrium himalayense,喜马拉雅薄地钱
Mannia controversa,反向疣冠苔
Mannia controversa subsp. asiatica,亚洲反向疣冠苔
Mannia fragrans,无隔疣冠苔
Mannia sibirica,西伯利亚疣冠苔
Mannia subpilosa,拟毛柄疣冠苔
Mannia triandra,疣冠苔
Plagiochasma appendiculatum,钝鳞紫背苔
Plagiochasma cordatum,紫背苔
Plagiochasma intermedium,无纹紫背苔
Plagiochasma japonicum,日本紫背苔
Plagiochasma pterospermum,短柄紫背苔
Plagiochasma rupestre,小孔紫背苔
Reboulia hemisphaerica,石地钱
Isotachis,直蒴苔属
Isotachis armata,瓢叶直蒴苔
Isotachis chinensis,中华直蒴苔
Isotachis japonica,东亚直蒴苔
Blasia,壶苞苔属
Blasia pusilla,壶苞苔
Blepharostoma,睫毛苔属
Blepharostoma minus,小睫毛苔
Blepharostoma trichophyllum,睫毛苔
Calycularia,苞片苔属
Calycularia crispula,苞片苔
Calypogeia,护蒴苔属
Metacalypogeia,假护蒴苔属
Mnioloma,疣胞苔属
Calypogeia aeruginosa,绿色护蒴苔
Calypogeia arguta,刺叶护蒴苔
Calypogeia azurea,三角护蒴苔
Calypogeia fissa,护蒴苔
Calypogeia formosana,台湾护蒴苔
Calypogeia integristipula,北方护蒴苔
Calypogeia japonica,全缘护蒴苔
Calypogeia muelleriana,芽胞护蒴苔
Calypogeia neesiana,钝叶护蒴苔
Calypogeia sphagnicola,沼生护蒴苔
Calypogeia suecica,远东护蒴苔
Calypogeia tosana,双齿护蒴苔
Metacalypogeia alternifolia,疏叶假护蒴苔
Metacalypogeia cordifolia,假护蒴苔
Mnioloma fuscum,棕色疣胞苔
Alobiellopsis,柱萼苔属
Cephalozia,大萼苔属
Nowellia,拳叶苔属
Odontoschisma,裂齿苔属
Pleurocladula,侧枝苔属
Schiffneria,塔叶苔属
Alobiellopsis parvifolia,柱萼苔
Cephalozia ambigua,钝瓣大萼苔
Cephalozia bicuspidata,大萼苔
Cephalozia catenulata,曲枝大萼苔
Cephalozia connivens,喙叶大萼苔
Cephalozia gollanii,南亚大萼苔
Cephalozia hamatiloba,弯叶大萼苔
Cephalozia lacinulata,毛口大萼苔
Cephalozia leucantha,厚壁大萼苔
Cephalozia lunulifolia,月瓣大萼苔
Cephalozia macounii,短瓣大萼苔
Cephalozia otaruensis,薄壁大萼苔
Cephalozia pleniceps,细瓣大萼苔
Nowellia aciliata,无毛拳叶苔
Nowellia curvifolia,拳叶苔
Odontoschisma denudatum,裂齿苔
Odontoschisma francisci,钝叶苔
Odontoschisma grosseverrucosum,瘤壁裂齿苔
Odontoschisma sphagni,湿生裂齿苔
Pleurocladula albescens,侧枝苔
Schiffneria hyalina,塔叶苔
Schiffneria yunnanensis,云南塔叶苔
Cephaloziella,拟大萼苔属
Cylindrocolea,筒萼苔属
Gottschelia,戈氏苔属
Obtusifolium,秃瓣苔属
Cephaloziella breviperianthia,短萼拟大萼苔
Cephaloziella dentata,粗齿拟大萼苔
Cephaloziella divaricata,挺枝拟大萼苔
Cephaloziella elachista,狭叶拟大萼苔
Cephaloziella elachista var. spinophylla,刺苞叶狭叶拟大萼苔
Cephaloziella flexuosa,扭叶拟大萼苔
Cephaloziella hampeana,哈氏拟大萼苔
Cephaloziella microphylla,小叶拟大萼苔
Cephaloziella rubella,红色拟大萼苔
Cephaloziella spinicaulis,刺茎拟大萼苔
Cephaloziella stephanii,仰叶拟大萼苔
Cylindrocolea kiaeri,鳞叶筒萼苔
Cylindrocolea recurvifolia,弯叶筒萼苔
Cylindrocolea tagawae,东亚筒萼苔
Gottschelia schizopleura,戈氏苔
Obtusifolium obtusum,秃瓣苔
Aitchisoniella,无柄山苔属
Athalamia,高山苔属
Clevea,克氏苔属
Peltolepis,月鳞苔属
Sauteria,星孔苔属
Aitchisoniella himalayensis,无柄山苔
Athalamia handelii,云南高山苔
Athalamia pinguis,高山苔
Clevea hyalina,克氏苔
Clevea pusilla,小克氏苔
Peltolepis japonica,日本月鳞苔
Peltolepis quadrata,月鳞苔
Sauteria alpina,星孔苔
Sauteria inflata,膨柄星孔苔
Sauteria spongiosa,球孢星孔苔
Conocephalum,蛇苔属
Conocephalum conicum,蛇苔
