0,三白草,Saururus chinensis,三白草,Saururus chinensis,三白草,Saururus chinensis
1,蕺菜,Houttuynia cordata,蕺菜,Houttuynia cordata,蕺菜,Houttuynia cordata
2,桃叶珊瑚,Aucuba chinensis,桃叶珊瑚,Aucuba chinensis,桃叶珊瑚,Aucuba chinensis
3,花叶青木,Aucuba japonica var. variegata,花叶青木,Aucuba japonica var. variegata,花叶青木,Aucuba japonica var. variegata
4,倒心叶珊瑚,Aucuba obcordata,倒心叶珊瑚,Aucuba obcordata,倒心叶珊瑚,Aucuba obcordata
5,<某种>,Blechnum novae-zelandiae,None,Blechnum novae-zelandiae,None,None
6,<某种>,Woodwardia fimbriata,None,Woodwardia fimbriata,None,None
7,珠芽狗脊,Woodwardia prolifera,珠芽狗脊,Woodwardia prolifera,珠芽狗脊,Woodwardia prolifera
8,五列木,Pentaphylax euryoides,五列木,Pentaphylax euryoides,五列木,Pentaphylax euryoides
9,厚皮香,Ternstroemia gymnanthera,厚皮香,Ternstroemia gymnanthera,厚皮香,Ternstroemia gymnanthera
10,米碎花,Eurya chinensis,米碎花,Eurya chinensis,None,Eurya chinensis
11,二列叶柃,Eurya distichophylla,二列叶柃,Eurya distichophylla,二列叶柃,Eurya distichophylla
12,滨柃,Eurya emarginata,滨柃,Eurya emarginata,滨柃,Eurya emarginata
13,柃木,Eurya japonica,柃木,Eurya japonica,柃木,Eurya japonica
14,黑柃,Eurya macartneyi,黑柃,Eurya macartneyi,黑柃,Eurya macartneyi
15,格药柃,Eurya muricata,格药柃,Eurya muricata,格药柃,Eurya muricata
16,窄基红褐柃,Eurya rubiginosa var. attenuata,窄基红褐柃,Eurya rubiginosa var. attenuata,窄基红褐柃,Eurya rubiginosa var. attenuata
17,岩柃,Eurya saxicola,岩柃,Eurya saxicola,岩柃,Eurya saxicola
18,红淡比,Cleyera japonica,红淡比,Cleyera japonica,红淡比,Cleyera japonica
